value,type,desc,source,date,criticality_level,connectiontype,quality_score,false_positive_risk,flags
sayayaya.duckdns.org,domain,PH,IH,2026-07-26T13:11:55.105729,4,PH,100.0000,low,
basvursenxm.sbs,domain,PH,IH,2026-07-26T13:11:19.709724,4,PH,100.0000,low,
akbankinvestprogram.click,domain,PH,IH,2026-07-26T13:09:02.699109,4,PH,100.0000,low,
hemenislemn-sonuc.net,domain,BP,SB,2026-07-26T12:50:39.721274,4,PH,100.0000,low,
124451545544554888787990.duckdns.org,domain,PH,IH,2026-07-26T12:48:14.607993,4,PH,100.0000,low,
toplu-konut.gravitycl.app,domain,PH,IH,2026-07-26T12:47:16.808057,4,PH,100.0000,low,
toplukonutidaresi.gravitycl.app,domain,PH,IH,2026-07-26T12:47:02.435411,4,PH,100.0000,low,
basvursenrnz.sbs,domain,PH,IH,2026-07-26T12:46:38.008411,4,PH,100.0000,low,
asist-web.casa,domain,PH,IH,2026-07-26T12:46:15.812549,4,PH,100.0000,low,
toki-toplukonut.gravitycl.app,domain,PH,IH,2026-07-26T12:45:58.022324,4,PH,100.0000,low,
124451545544554888787991.duckdns.org,domain,PH,IH,2026-07-26T12:45:32.408650,4,PH,100.0000,low,
kisa-edinim.guru,domain,PH,IH,2026-07-26T12:44:55.852936,4,PH,100.0000,low,
sehaaredales.duckdns.org,domain,PH,IH,2026-07-26T12:44:02.109933,4,PH,100.0000,low,
halkicanocan.co,domain,PH,IH,2026-07-26T10:36:46.700356,4,PH,100.0000,low,
brgninvesttr.com,domain,PH,IH,2026-07-26T07:57:09.395686,4,PH,100.0000,low,
turkishairlineskampanyalari.zelenskkk.click,domain,PH,IH,2026-07-26T07:36:04.595138,4,PH,100.0000,low,
avsfilocar.org,domain,PH,IH,2026-07-26T06:59:11.096987,4,PH,100.0000,low,
zunarikex.com,domain,PH,IH,2026-07-26T05:15:35.496513,4,PH,100.0000,low,
haberler78912.sbs,domain,PH,IH,2026-07-26T03:04:20.846903,4,PH,100.0000,low,
hizli-islem.com,domain,PH,IH,2026-07-25T23:29:00.897259,4,PH,100.0000,low,
cacavavacq.duckdns.org,domain,PH,IH,2026-07-25T23:04:52.098106,4,PH,100.0000,low,
burdaemhrsrandvlrmz.sbs,domain,PH,IH,2026-07-25T22:28:06.298438,4,PH,100.0000,low,
araksdatoaslvanb.online,domain,PH,IH,2026-07-25T22:27:52.794655,4,PH,100.0000,low,
syqwe.ezpizi.click,domain,PH,IH,2026-07-25T22:27:39.498932,4,PH,100.0000,low,
guvenlialisverisin.online,domain,BP,SO,2026-07-25T22:24:12.260416,4,PH,100.0000,low,
online-siparis-mobilde-tr.online,domain,BP,SO,2026-07-25T22:24:12.260416,4,PH,100.0000,low,
paribuarabakazanci.com,domain,BP,SB,2026-07-25T22:04:20.493295,4,PH,100.0000,low,
healthvello.com,domain,BP,SB,2026-07-25T22:04:20.493295,4,PH,100.0000,low,
qunlivo.com,domain,BP,SB,2026-07-25T22:04:20.493295,4,PH,100.0000,low,
bytezi.xyz,domain,BP,SB,2026-07-25T22:04:20.493295,4,PH,100.0000,low,
klevdpo.com,domain,BP,SB,2026-07-25T22:04:20.493295,4,PH,100.0000,low,
wenab58919.site,domain,BP,IH,2026-07-25T21:59:48.695466,4,PH,100.0000,low,
a101market.org,domain,PH,IH,2026-07-25T21:52:04.598651,4,PH,100.0000,low,
kalsandnsdansdn.com,domain,PH,IH,2026-07-25T21:51:07.105849,4,PH,100.0000,low,
firsatlrmbrdancaydanligim.mooo.com,domain,PH,IH,2026-07-25T21:50:11.327675,4,PH,100.0000,low,
mobil-deniz-promosyyon-bilgi-ekranim.theworkpc.com,domain,PH,IH,2026-07-25T21:49:11.095054,4,PH,100.0000,low,
prderzstansews.duckdns.org,domain,PH,IH,2026-07-25T21:48:56.534151,4,PH,100.0000,low,
hahedeladawd.duckdns.org,domain,PH,IH,2026-07-25T21:48:36.096905,4,PH,100.0000,low,
kmpnnnyaabsvrrsnnnfrsltar.pro,domain,PH,IH,2026-07-25T21:48:03.194638,4,PH,100.0000,low,
felfecirdom.co,domain,PH,IH,2026-07-25T21:46:31.799839,4,PH,100.0000,low,
vakifbank-2--vakifbanktr.replit.app,domain,BP,SB,2026-07-25T17:40:44.515166,4,PH,100.0000,low,
mhrsrandevu346.duckdns.org,domain,BP,SB,2026-07-25T17:40:39.878168,4,PH,100.0000,low,
sinirsizkampanyalarinizkapida.xyz,domain,BP,SB,2026-07-25T17:20:41.025747,4,PH,100.0000,low,
matkapset84parca.myshopify.com,domain,PH,IH,2026-07-25T15:44:40.807508,4,PH,100.0000,low,
tuvturk23randevu.duckdns.org,domain,PH,IH,2026-07-25T15:43:56.599474,4,PH,100.0000,low,
1245115544166558998992.duckdns.org,domain,PH,IH,2026-07-25T15:43:38.494420,4,PH,100.0000,low,
sozlesmepolice.net,domain,PH,IH,2026-07-25T15:43:31.097537,4,PH,100.0000,low,
alisverislerikacirma1o1.ph,domain,BP,SB,2026-07-25T14:35:39.807057,4,PH,100.0000,low,
goshaw.milanopitza.cfd,domain,PH,IH,2026-07-25T14:28:42.093800,4,PH,100.0000,low,
dskflkaksldklcasx123x12.cfd,domain,PH,IH,2026-07-25T14:27:13.004894,4,PH,100.0000,low,
